#{"t_start": 1770588151.5883014, "env_id": "LunarLander-v3"}
r,l,t
-53.234109,91,26.844123
-53.18935,86,26.898712
-44.947423,80,26.948493
-53.378478,125,27.025392
3.747427,103,27.090631
-57.119122,99,27.153169
-81.274045,84,27.204628
-61.043942,918,28.345913
33.850085,107,28.423517
-1.479076,93,28.487724
-30.207878,79,28.544732
-27.713947,96,28.611344
-86.12622,107,28.688574
-65.646858,114,28.768129
-35.575334,103,28.840769
-34.910086,107,28.915167
-58.770561,113,28.994717
-8.193423,86,29.055222
-11.55902,113,29.137001
-39.06057,120,29.2205
-44.275145,65,29.267124
-25.731678,82,29.323622
-48.621168,93,29.391572
-62.149616,118,29.472706
-7.640866,172,29.593179
-13.870194,75,29.648323
-35.799728,115,29.730052
-22.534405,66,29.776661
2.323222,94,29.845481
-0.610638,76,29.899159
-30.547197,79,29.953438
26.75241,154,30.06164
-67.688856,96,30.130664
19.395362,74,30.183724
-22.822124,94,30.257631
-1.131762,108,30.338378
-50.45412,108,30.420747
-63.939018,81,30.479582
15.23064,104,30.555328
42.323309,128,30.647623
15.628098,85,30.71002
31.636746,103,30.786333
-14.450071,78,30.843126
-15.140663,1000,31.552752
-19.642802,111,31.631316
-46.143982,115,31.713923
-34.024666,94,31.781159
-26.111,98,31.849654
-47.880711,104,31.926833
8.944403,106,32.003809
-23.10062,83,32.062958
-39.159835,102,32.136233
8.588818,143,32.241073
-36.759546,81,32.297841
13.937383,92,32.364437
-54.375186,114,32.444033
-14.929342,109,32.52388
-27.733138,104,32.598608
-37.921612,68,32.647271
-9.136703,84,32.7074
-32.408438,130,32.798826
-186.743013,526,33.175622
-2.314476,68,33.224797
33.378957,109,33.301059
-70.199379,74,33.352964
-4.289961,107,33.430077
-49.470449,86,33.491495
54.186983,151,33.595661
-30.21793,129,33.689895
-51.707913,78,33.744494
-41.382673,80,33.801355
-4.902514,1000,34.512631
-14.904145,1000,35.213229
-23.064073,119,35.298477
-58.677963,1000,36.004775
-137.490846,161,36.118408
32.352096,113,36.199656
-36.637723,89,36.265315
-38.289175,78,36.318554
12.500289,96,36.386444
32.243324,124,36.476647
51.749994,98,36.548793
-79.741908,76,36.602041
6.949315,146,36.705697
-28.015848,99,36.778929
-10.986715,81,36.836456
-42.032667,90,36.899898
18.196794,82,36.9583
-41.273908,100,37.03135
75.291558,1000,37.768297
-16.12798,75,37.821172
-50.026035,89,37.883523
59.824715,108,37.97482
-43.030959,104,38.048536
-92.008589,1000,38.759312
-44.075942,84,38.819752
-64.181295,78,38.876409
-7.880089,123,38.961972
20.882638,114,39.044329
-6.6052,104,39.120317
2.478662,114,39.203385
-80.395238,1000,39.930024
21.692984,156,40.043118
32.026379,142,40.146869
21.873964,78,40.204075
-25.794202,1000,40.919402
-18.580738,1000,41.643051
13.79927,84,41.704
-57.679003,1000,42.437348
-85.61424,94,42.507351
-27.545706,1000,43.238189
-13.931392,123,43.32889
-21.139042,1000,44.063324
-41.899645,1000,44.791569
-0.015507,1000,45.520466
-33.548267,1000,47.243122
49.180698,248,47.430853
-9.449736,1000,48.194345
-150.427663,121,48.284158
-14.097298,1000,49.035471
18.985679,1000,49.791133
16.678426,1000,50.564853
-22.017674,1000,51.314344
-21.181485,1000,52.070757
-25.454808,1000,52.829179
-29.060449,1000,53.589154
14.107261,1000,54.346854
23.078061,1000,55.099414
-44.962222,1000,55.860638
5.07347,1000,56.62221
4.481646,1000,57.387408
-13.376739,1000,58.164994
-50.690669,1000,58.930675
-42.700238,1000,59.699551
-45.618289,1000,60.489796
-14.464797,1000,61.27144
-11.851009,1000,62.058388
-9.082001,1000,62.841156
-11.584142,1000,63.634125
-24.271117,1000,64.429291
-6.500011,1000,65.228641
15.002333,1000,66.030725
21.519123,1000,67.801119
8.456178,1000,68.600448
-4.142167,1000,69.387926
-5.380969,1000,70.203542
